Sub	Age	Version	Gender	cubes_acc1	cubes_acc2	objects_acc1	objects_acc2	bodies_acc1	bodies_acc2	cubes_rt1	cubes_rt2	objects_rt1	objects_rt2	bodies_rt1	bodies_rt2	cubes_acc	objects_acc	bodies_acc	total_score	cubes_rt	objects_rt	bodies_rt	mean_rt	ST_score	st_score_group	ST_rt	st_speed_group	object_scale	object_scale_group	spatial_scale	spatial_scale_group	Verbal scale	OSIQV_style	CFS_score	CFS_group	reflection_score	rumination_score	preoccupation_score
48	26	B	F	0.9	0.93	0.76	0.83	0.83	0.9	1.62	1.79	1.94	1.99	1.9	1.79	0.92	0.8	0.87	0.858333333	1.71	1.97	2.8	2.16	202	low	248	fast	51	low	58	high	32	spatial	48	low	9	6	5
49	22	B	F	0.97	0.87	0.8	0.93	0.97	0.97	1.39	1.56	1.15	1.11	1.18	1.2	0.92	0.87	0.97	0.918333333	1.48	1.13	1.78	1.463333333	340	low	455	slow	50	low	56	high	36	spatial	53	low	5	5	5
50	25	B	F	0.63	0.53	0.73	0.73	0.43	0.6	1.71	1.88	1.95	1.84	1.98	1.76	0.58	0.73	0.52	0.608333333	1.8	1.9	2.86	2.186666667	506	high	877	slow	52	high	36	low	38	object	62	high	12	5	9
51	29	B	M	0.7	0.77	0.77	0.93	0.83	0.87	1.57	1.32	2.07	1.71	1.78	1.69	0.73	0.85	0.85	0.811666667	1.45	1.89	2.63	1.99	235	low	314	fast	46	low	44	low	48	object	60	high	9	5	5
52	25	B	M	0.8	0.8	0.67	0.83	0.7	0.63	1.57	1.62	1.28	1.66	1.45	1.3	0.8	0.75	0.67	0.738333333	1.6	1.47	2.1	1.723333333	599	high	427	fast	67	high	49	high	53	object	61	high	11	7	5
53	25	B	F	0.67	0.67	0.77	0.8	0.77	0.8	1.73	1.47	1.85	1.81	1.67	1.75	0.67	0.78	0.78	0.746666667	1.6	1.83	2.55	1.993333333	544	high	453	slow	60	high	50	high	35	object	50	low	5	5	5
54	27	C	F	0.87	0.87	0.93	0.97	0.83	0.9	1.12	0.84	0.77	0.85	1.52	0.78	0.93	0.95	0.87	0.895	0.98	0.81	1.91	1.233333333	302	low	237	fast	64	high	52	high	33	object	50	low	11	8	6
55	20	B	M	0.73	0.87	0.83	0.9	0.8	1	1.37	1.32	1.44	1.54	1.72	1.18	0.8	0.87	0.9	0.855	1.35	1.49	2.31	1.716666667	348	high	623	slow	61	high	45	low	47	object	52	low	6	5	6
56	21	B	M	0.83	0.83	0.87	0.9	0.93	1	1.6	1.42	1.84	1.69	1.73	1.42	0.83	0.88	0.97	0.893333333	1.51	1.77	2.44	1.906666667	359	high	600	slow	63	high	38	low	43	object	50	low	10	6	8
57	25	C	F	0.9	0.83	0.9	0.97	0.83	0.87	0.92	0.85	1.31	1.09	1.68	1.48	0.87	0.93	0.85	0.883333333	0.89	1.2	2.42	1.503333333	334	low	593	slow	64	high	49	high	45	object	62	high	16	12	11
58	26	B	M	0.87	0.93	0.93	0.97	1	0.97	1.24	1.47	1.02	1.4	1.13	1.21	0.9	0.95	0.98	0.945	1.36	1.21	1.74	1.436666667	323	low	362	fast	38	low	50	high	52	spatial	59	high	5	6	9
59	26	C	M	0.83	0.83	0.93	0.97	0.97	0.93	1.24	1.21	1.04	1.19	1.77	1.04	0.83	0.95	0.98	0.91	1.23	1.12	2.29	1.546666667	202	low	350	fast	48	low	48	high	48	spatial	48	low	12	7	10
60	23	C	F	0.73	0.7	0.53	0.7	0.8	0.57	2.35	2.76	2.35	2.53	1.61	2.12	0.72	0.62	0.68	0.671666667	2.56	2.44	2.67	2.556666667	324	low	543	slow	56	high	48	high	33	object	54	high	7	6	8
